"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10768627, SEN S/N: 10768627)","Temp, °C (LGR S/N: 10768627, SEN S/N: 10768627)","Coupler Detached (LGR S/N: 10768627)","Coupler Attached (LGR S/N: 10768627)","Stopped (LGR S/N: 10768627)","End Of File (LGR S/N: 10768627)"
1,07/14/16 09:51:23 AM,7.37,28.60,,,,
2,07/14/16 09:51:26 AM,,,Logged,,,
3,07/14/16 10:06:23 AM,6.35,26.60,,,,
4,07/14/16 10:21:23 AM,6.46,26.62,,,,
5,07/14/16 10:36:23 AM,6.57,26.76,,,,
6,07/14/16 10:51:23 AM,6.65,26.92,,,,
7,07/14/16 11:06:23 AM,6.73,27.10,,,,
8,07/14/16 11:21:23 AM,6.81,27.26,,,,
9,07/14/16 11:36:23 AM,6.92,27.46,,,,
10,07/14/16 11:51:23 AM,6.97,27.62,,,,
11,07/14/16 12:06:23 PM,7.02,27.74,,,,
12,07/14/16 12:21:23 PM,7.07,27.88,,,,
13,07/14/16 12:36:23 PM,7.10,28.00,,,,
14,07/14/16 12:51:23 PM,7.13,28.10,,,,
15,07/14/16 01:06:23 PM,7.18,28.22,,,,
16,07/14/16 01:21:23 PM,7.19,28.32,,,,
17,07/14/16 01:36:23 PM,7.22,28.44,,,,
18,07/14/16 01:51:23 PM,7.24,28.52,,,,
19,07/14/16 02:06:23 PM,7.24,28.58,,,,
20,07/14/16 02:21:23 PM,7.22,28.64,,,,
21,07/14/16 02:36:23 PM,7.22,28.72,,,,
22,07/14/16 02:51:23 PM,7.23,28.78,,,,
23,07/14/16 03:06:23 PM,7.18,28.84,,,,
24,07/14/16 03:21:23 PM,7.15,28.88,,,,
25,07/14/16 03:36:23 PM,7.15,28.92,,,,
26,07/14/16 03:51:23 PM,7.11,28.94,,,,
27,07/14/16 04:06:23 PM,7.05,28.98,,,,
28,07/14/16 04:21:23 PM,7.04,28.98,,,,
29,07/14/16 04:36:23 PM,7.00,28.98,,,,
30,07/14/16 04:51:23 PM,6.95,28.98,,,,
31,07/14/16 05:06:23 PM,6.90,28.98,,,,
32,07/14/16 05:21:23 PM,6.87,28.96,,,,
33,07/14/16 05:36:23 PM,6.80,28.94,,,,
34,07/14/16 05:51:23 PM,6.74,28.92,,,,
35,07/14/16 06:06:23 PM,6.66,28.88,,,,
36,07/14/16 06:21:23 PM,6.59,28.84,,,,
37,07/14/16 06:36:23 PM,6.54,28.82,,,,
38,07/14/16 06:51:23 PM,6.45,28.78,,,,
39,07/14/16 07:06:23 PM,6.40,28.74,,,,
40,07/14/16 07:21:23 PM,6.32,28.70,,,,
41,07/14/16 07:36:23 PM,6.26,28.66,,,,
42,07/14/16 07:51:23 PM,6.20,28.62,,,,
43,07/14/16 08:06:23 PM,6.16,28.60,,,,
44,07/14/16 08:21:23 PM,6.12,28.56,,,,
45,07/14/16 08:36:23 PM,6.09,28.52,,,,
46,07/14/16 08:51:23 PM,6.04,28.50,,,,
47,07/14/16 09:06:23 PM,6.01,28.46,,,,
48,07/14/16 09:21:23 PM,5.97,28.42,,,,
49,07/14/16 09:36:23 PM,5.93,28.40,,,,
50,07/14/16 09:51:23 PM,5.91,28.34,,,,
51,07/14/16 10:06:23 PM,5.88,28.30,,,,
52,07/14/16 10:21:23 PM,5.87,28.26,,,,
53,07/14/16 10:36:23 PM,5.85,28.22,,,,
54,07/14/16 10:51:23 PM,5.84,28.18,,,,
55,07/14/16 11:06:23 PM,5.82,28.14,,,,
56,07/14/16 11:21:23 PM,5.83,28.10,,,,
57,07/14/16 11:36:23 PM,5.81,28.04,,,,
58,07/14/16 11:51:23 PM,5.79,28.00,,,,
59,07/15/16 12:06:23 AM,5.80,27.96,,,,
60,07/15/16 12:21:23 AM,5.78,27.92,,,,
61,07/15/16 12:36:23 AM,5.79,27.86,,,,
62,07/15/16 12:51:23 AM,5.78,27.82,,,,
63,07/15/16 01:06:23 AM,5.74,27.78,,,,
64,07/15/16 01:21:23 AM,5.74,27.74,,,,
65,07/15/16 01:36:23 AM,5.73,27.70,,,,
66,07/15/16 01:51:23 AM,5.71,27.66,,,,
67,07/15/16 02:06:23 AM,5.71,27.62,,,,
68,07/15/16 02:21:23 AM,5.69,27.58,,,,
69,07/15/16 02:36:23 AM,5.69,27.54,,,,
70,07/15/16 02:51:23 AM,5.67,27.50,,,,
71,07/15/16 03:06:23 AM,5.67,27.46,,,,
72,07/15/16 03:21:23 AM,5.65,27.42,,,,
73,07/15/16 03:36:23 AM,5.66,27.38,,,,
74,07/15/16 03:51:23 AM,5.64,27.34,,,,
75,07/15/16 04:06:23 AM,5.65,27.28,,,,
76,07/15/16 04:21:23 AM,5.64,27.24,,,,
77,07/15/16 04:36:23 AM,5.63,27.18,,,,
78,07/15/16 04:51:23 AM,5.64,27.14,,,,
79,07/15/16 05:06:23 AM,5.63,27.08,,,,
80,07/15/16 05:21:23 AM,5.64,27.02,,,,
81,07/15/16 05:36:23 AM,5.64,26.96,,,,
82,07/15/16 05:51:23 AM,5.63,26.92,,,,
83,07/15/16 06:06:23 AM,5.62,26.86,,,,
84,07/15/16 06:21:23 AM,5.62,26.80,,,,
85,07/15/16 06:36:23 AM,5.62,26.76,,,,
86,07/15/16 06:51:23 AM,5.62,26.70,,,,
87,07/15/16 07:06:23 AM,5.63,26.66,,,,
88,07/15/16 07:21:23 AM,5.63,26.64,,,,
89,07/15/16 07:36:23 AM,5.65,26.60,,,,
90,07/15/16 07:51:23 AM,5.66,26.60,,,,
91,07/15/16 08:06:23 AM,5.70,26.58,,,,
92,07/15/16 08:21:23 AM,5.73,26.60,,,,
93,07/15/16 08:36:23 AM,5.79,26.62,,,,
94,07/15/16 08:51:23 AM,5.84,26.64,,,,
95,07/15/16 09:06:23 AM,5.88,26.70,,,,
96,07/15/16 09:21:23 AM,5.98,26.74,,,,
97,07/15/16 09:36:23 AM,6.03,26.80,,,,
98,07/15/16 09:51:23 AM,6.14,26.92,,,,
99,07/15/16 10:06:23 AM,6.22,27.02,,,,
100,07/15/16 10:21:23 AM,6.33,27.14,,,,
101,07/15/16 10:36:23 AM,6.42,27.30,,,,
102,07/15/16 10:51:23 AM,6.54,27.44,,,,
103,07/15/16 11:06:23 AM,6.61,27.60,,,,
104,07/15/16 11:21:23 AM,6.70,27.76,,,,
105,07/15/16 11:36:23 AM,6.77,27.94,,,,
106,07/15/16 11:51:23 AM,6.86,28.08,,,,
107,07/15/16 12:06:23 PM,6.91,28.18,,,,
108,07/15/16 12:21:23 PM,6.99,28.32,,,,
109,07/15/16 12:36:23 PM,7.06,28.44,,,,
110,07/15/16 12:51:23 PM,7.09,28.56,,,,
111,07/15/16 01:06:23 PM,7.14,28.70,,,,
112,07/15/16 01:21:23 PM,7.17,28.82,,,,
113,07/15/16 01:36:23 PM,7.19,28.94,,,,
114,07/15/16 01:51:23 PM,7.19,29.00,,,,
115,07/15/16 02:06:23 PM,7.19,29.06,,,,
116,07/15/16 02:21:23 PM,7.19,29.12,,,,
117,07/15/16 02:36:23 PM,7.19,29.18,,,,
118,07/15/16 02:51:23 PM,7.19,29.24,,,,
119,07/15/16 03:06:23 PM,7.18,29.30,,,,
120,07/15/16 03:21:23 PM,7.10,29.34,,,,
121,07/15/16 03:36:23 PM,7.11,29.38,,,,
122,07/15/16 03:51:23 PM,7.11,29.40,,,,
123,07/15/16 04:06:23 PM,7.07,29.40,,,,
124,07/15/16 04:21:23 PM,7.04,29.38,,,,
125,07/15/16 04:36:23 PM,6.98,29.32,,,,
126,07/15/16 04:51:23 PM,6.92,29.24,,,,
127,07/15/16 05:06:23 PM,6.87,29.16,,,,
128,07/15/16 05:21:23 PM,6.79,29.06,,,,
129,07/15/16 05:36:23 PM,6.74,28.94,,,,
130,07/15/16 05:51:23 PM,6.68,28.78,,,,
131,07/15/16 06:06:23 PM,6.53,28.64,,,,
132,07/15/16 06:21:23 PM,6.44,28.46,,,,
133,07/15/16 06:36:23 PM,6.35,28.28,,,,
134,07/15/16 06:51:23 PM,6.37,27.90,,,,
135,07/15/16 07:06:23 PM,6.36,27.70,,,,
136,07/15/16 07:21:23 PM,6.42,27.52,,,,
137,07/15/16 07:36:23 PM,6.62,27.06,,,,
138,07/15/16 07:51:23 PM,6.61,26.78,,,,
139,07/15/16 08:06:23 PM,6.63,26.64,,,,
140,07/15/16 08:21:23 PM,6.56,26.76,,,,
141,07/15/16 08:36:23 PM,6.45,26.94,,,,
142,07/15/16 08:51:23 PM,6.37,27.18,,,,
143,07/15/16 09:06:23 PM,6.32,27.40,,,,
144,07/15/16 09:21:23 PM,6.28,27.60,,,,
145,07/15/16 09:36:23 PM,6.26,27.74,,,,
146,07/15/16 09:51:23 PM,6.26,27.82,,,,
147,07/15/16 10:06:23 PM,6.29,27.86,,,,
148,07/15/16 10:21:23 PM,6.30,27.86,,,,
149,07/15/16 10:36:23 PM,6.27,27.80,,,,
150,07/15/16 10:51:23 PM,6.23,27.72,,,,
151,07/15/16 11:06:23 PM,6.18,27.60,,,,
152,07/15/16 11:21:23 PM,6.11,27.46,,,,
153,07/15/16 11:36:23 PM,6.09,27.38,,,,
154,07/15/16 11:51:23 PM,6.05,27.42,,,,
155,07/16/16 12:06:23 AM,6.03,27.46,,,,
156,07/16/16 12:21:23 AM,6.17,27.24,,,,
157,07/16/16 12:36:23 AM,6.27,27.00,,,,
158,07/16/16 12:51:23 AM,6.39,26.96,,,,
159,07/16/16 01:06:23 AM,6.51,26.94,,,,
160,07/16/16 01:21:23 AM,6.60,26.82,,,,
161,07/16/16 01:36:23 AM,6.57,26.64,,,,
162,07/16/16 01:51:23 AM,6.51,26.42,,,,
163,07/16/16 02:06:23 AM,6.46,26.18,,,,
164,07/16/16 02:21:23 AM,6.45,25.92,,,,
165,07/16/16 02:36:23 AM,6.46,25.68,,,,
166,07/16/16 02:51:23 AM,6.51,25.48,,,,
167,07/16/16 03:06:23 AM,6.57,25.28,,,,
168,07/16/16 03:21:23 AM,6.62,25.12,,,,
169,07/16/16 03:36:23 AM,6.68,25.00,,,,
170,07/16/16 03:51:23 AM,6.70,24.90,,,,
171,07/16/16 04:06:23 AM,6.72,24.82,,,,
172,07/16/16 04:21:23 AM,6.74,24.80,,,,
173,07/16/16 04:36:23 AM,6.73,24.76,,,,
174,07/16/16 04:51:23 AM,6.72,24.74,,,,
175,07/16/16 05:06:23 AM,6.72,24.74,,,,
176,07/16/16 05:21:23 AM,6.71,24.74,,,,
177,07/16/16 05:36:23 AM,6.69,24.76,,,,
178,07/16/16 05:51:23 AM,6.70,24.76,,,,
179,07/16/16 06:06:23 AM,6.68,24.76,,,,
180,07/16/16 06:21:23 AM,6.66,24.76,,,,
181,07/16/16 06:36:23 AM,6.66,24.76,,,,
182,07/16/16 06:51:23 AM,6.65,24.76,,,,
