"#","Date Time, GMT-05:00","Abs Pres, kPa (LGR S/N: 10906727, SEN S/N: 10906727)","Temp, °C (LGR S/N: 10906727, SEN S/N: 10906727)","Coupler Detached (LGR S/N: 10906727)","Coupler Attached (LGR S/N: 10906727)","Stopped (LGR S/N: 10906727)","End Of File (LGR S/N: 10906727)"
1,07/14/16 10:00:00 AM,103.647,26.488,Logged,,,
2,07/14/16 10:15:00 AM,103.626,26.488,,,,
3,07/14/16 10:30:00 AM,103.624,26.683,,,,
4,07/14/16 10:45:00 AM,103.641,26.879,,,,
5,07/14/16 11:00:00 AM,103.635,26.977,,,,
6,07/14/16 11:15:00 AM,103.642,27.173,,,,
7,07/14/16 11:30:00 AM,103.619,27.370,,,,
8,07/14/16 11:45:00 AM,103.606,27.567,,,,
9,07/14/16 12:00:00 PM,103.589,27.665,,,,
10,07/14/16 12:15:00 PM,103.566,27.862,,,,
11,07/14/16 12:30:00 PM,103.550,27.961,,,,
12,07/14/16 12:45:00 PM,103.523,28.060,,,,
13,07/14/16 01:00:00 PM,103.495,28.159,,,,
14,07/14/16 01:15:00 PM,103.479,28.258,,,,
15,07/14/16 01:30:00 PM,103.462,28.357,,,,
16,07/14/16 01:45:00 PM,103.414,28.456,,,,
17,07/14/16 02:00:00 PM,103.408,28.555,,,,
18,07/14/16 02:15:00 PM,103.381,28.655,,,,
19,07/14/16 02:30:00 PM,103.350,28.655,,,,
20,07/14/16 02:45:00 PM,103.292,28.754,,,,
21,07/14/16 03:00:00 PM,103.296,28.853,,,,
22,07/14/16 03:15:00 PM,103.265,28.853,,,,
23,07/14/16 03:30:00 PM,103.245,28.853,,,,
24,07/14/16 03:45:00 PM,103.238,28.953,,,,
25,07/14/16 04:00:00 PM,103.228,28.953,,,,
26,07/14/16 04:15:00 PM,103.197,28.953,,,,
27,07/14/16 04:30:00 PM,103.177,28.953,,,,
28,07/14/16 04:45:00 PM,103.156,28.953,,,,
29,07/14/16 05:00:00 PM,103.136,28.953,,,,
30,07/14/16 05:15:00 PM,103.156,28.953,,,,
31,07/14/16 05:30:00 PM,103.146,28.953,,,,
32,07/14/16 05:45:00 PM,103.136,28.953,,,,
33,07/14/16 06:00:00 PM,103.132,28.853,,,,
34,07/14/16 06:15:00 PM,103.121,28.853,,,,
35,07/14/16 06:30:00 PM,103.142,28.853,,,,
36,07/14/16 06:45:00 PM,103.138,28.754,,,,
37,07/14/16 07:00:00 PM,103.169,28.754,,,,
38,07/14/16 07:15:00 PM,103.179,28.754,,,,
39,07/14/16 07:30:00 PM,103.186,28.655,,,,
